zone,pitches,CStr,Swing,Contact,foul_pct,exit_velo,launch_angle,Pull,Hard,BABIP,wOBA,xwOBA,flare,barrel,barrelperPA,pv,pvC,pv_tj,pvC_tj,shifted
1,89,37.1,58.4,57.7,66.7,153.3,7.6,50,50,0.5,0.346,0.27,50,12.5,7.1,-3.2,-3.59,-2.8,-3.15,84.3
2,113,15.9,83.2,67,69.8,157.8,29.1,50,66.7,0.286,0.415,0.451,0,37.5,25,-2.2,-1.93,-1.5,-1.3,73.5
3,59,13.6,84.7,76,50,140.4,23.4,46.7,40,0.308,0.36,0.233,20,13.3,8.3,0.3,0.46,-0.3,-0.43,86.4
4,171,39.8,60.2,84.5,44.8,160,19.8,42.2,75.6,0.325,0.405,0.479,28.9,22.2,16.4,0.3,0.2,-0.4,-0.25,80.1
5,167,13.8,86.2,77.8,53.6,163.9,19.9,50,96,0.114,0.606,0.725,12,42,35.6,5.6,3.37,9.4,5.63,79.6
6,111,18.9,79.3,90.9,47.5,156.8,19,48.8,68.3,0.364,0.599,0.531,22,29.3,25.5,10.2,9.15,7.8,7.07,75.7
7,153,37.9,56.2,72.1,37.1,143.2,7.2,65.7,40,0.323,0.322,0.259,17.6,14.7,9.1,-3.4,-2.24,-3.6,-2.34,85
8,164,31.7,65.2,72.9,46.2,157.6,12.3,58.5,80.5,0.243,0.32,0.409,26.8,24.4,17.2,-2.2,-1.37,-4.6,-2.82,76.8
9,98,25.5,63.3,71,56.8,160,8.4,55.6,66.7,0.4,0.472,0.456,22.2,27.8,17.2,-1.3,-1.36,0.9,0.89,83.7
11,374,7,18.2,55.9,65.8,142.9,12.1,33.3,41.7,0.091,0.392,0.41,8.3,8.3,1.9,14.7,3.93,11.4,3.04,77.5
12,189,1.6,45.5,67.4,63.8,124.1,20,47.6,38.1,0.4,0.389,0.308,14.3,14.3,7.9,5.2,2.75,4.4,2.32,77.2
13,568,5.3,25.5,46.9,47.1,123.6,15,51.5,9.1,0.242,0.289,0.276,15.2,3,1,9,1.59,8.5,1.49,79.6
14,330,2.4,30,34.3,58.8,137.5,12.1,50,33.3,0.727,0.419,0.355,41.7,8.3,1.8,11.9,3.61,11.5,3.49,79.7
NA,8,0,62.5,100,80,NA,NA,100,0,1,0.9,0.9,NA,NA,0,0.5,6.51,0.5,6.27,100
