pitch_name,game_month,pitches,ratio,velo,pfx_x,pfx_z,pv,pvC,pv_tj,pvC_tj,spinrate,Zone,SwStr,CStr,Swing,Contact,GB,LD,FB,PU,Hard,wOBA,xwOBA
Split-Finger,4,41,16.6,144.9,-10.9,3.7,3.8,9.26,3.3,8.11,1569,29.3,22,12.2,53.7,31.8,100,0,0,0,0,0.037,0.049
Split-Finger,5,80,23.7,140.4,-10,7,2.7,3.38,3.6,4.49,1535.8,42.5,20,8.8,51.2,51.2,69.2,15.4,15.4,0,21.1,0.125,0.116
Split-Finger,6,66,17.1,139.8,-8.9,5.7,0.4,0.68,1.5,2.26,1414.9,36.4,19.7,3,57.6,52.6,54.5,27.3,9.1,9.1,18.8,0.209,0.206
Split-Finger,7,30,10.6,141.4,-9.5,3.7,1.1,3.81,1.6,5.37,1166.3,26.7,20,0,46.7,57.1,42.9,0,57.1,0,37.5,0,0.164
Split-Finger,8,40,11.1,140.2,-9.4,5,1.3,3.28,2.1,5.2,1119.3,20,15,2.5,52.5,52.4,66.7,0,33.3,0,12.5,0,0.057
Split-Finger,9,114,27.5,143.9,-19.2,7.8,2.8,2.46,3,2.65,1302.3,36.8,16.7,7.9,56.1,65.6,76.5,17.6,0,5.9,12.1,0.163,0.194
Slider,4,34,13.8,130.7,49.7,0.4,-0.2,-0.55,0.4,1.22,2547.2,50,5.9,29.4,17.6,50,50,50,0,0,33.3,0.233,0.324
Slider,5,30,8.9,128.8,48.6,5.4,-0.5,-1.63,0,0.01,2475.4,63.3,20,13.3,53.3,62.5,20,40,40,0,10,0.331,0.336
Slider,6,75,19.4,130.3,40.2,5.9,0.2,0.31,-0.8,-1.05,2326.7,61.3,13.3,24,48,72.2,43.8,31.2,25,0,45.5,0.384,0.307
Slider,7,54,19,132.4,41.5,6.5,3,5.57,3,5.47,2332,44.4,22.2,7.4,63,61.8,36.4,9.1,27.3,27.3,10.5,0.153,0.083
Slider,8,112,31.2,132.3,40.7,7.1,4.4,3.96,5.1,4.58,2323.6,53.6,13.4,22.3,52.7,74.6,27.8,22.2,44.4,5.6,12.2,0.155,0.201
Slider,9,137,33.1,134.7,35.6,12,3.6,2.65,2,1.46,2314.7,59.1,13.1,21.2,53.3,75.3,40.7,11.1,40.7,7.4,18,0.309,0.273
Cutter,4,25,10.1,140.4,10.6,7.8,-1.5,-6.18,-1.2,-4.6,2460.8,48,4,20,32,87.5,20,60,0,20,14.3,0.58,0.603
Cutter,5,36,10.7,135.1,11.8,10.1,0.4,1.08,0.5,1.4,2296.8,63.9,8.3,19.4,41.7,80,50,25,0,25,33.3,0.278,0.339
Cutter,6,35,9.1,139.6,9.1,10.5,-0.4,-1.11,-0.6,-1.85,2323.2,62.9,22.9,11.4,62.9,63.6,33.3,33.3,33.3,0,28.6,0.564,0.585
Cutter,7,53,18.7,141.4,8.8,9,3.3,6.14,3.9,7.33,2245.3,66,3.8,18.9,52.8,92.9,35.7,0,50,14.3,26.9,0.047,0.292
Cutter,8,71,19.8,140.7,7.7,10.8,1.5,2.11,2,2.8,2188,57.7,11.3,21.1,50.7,77.8,46.7,20,20,13.3,23.1,0.247,0.205
Cutter,9,27,6.5,141.2,9.1,13.9,-1.6,-6.03,-2.1,-7.88,2172.9,63,3.7,22.2,44.4,91.7,20,60,20,0,30,0.86,0.591
Curveball,4,17,6.9,120.4,35.4,-37.2,-0.4,-2.45,-0.6,-3.26,2524.2,29.4,5.9,23.5,5.9,0,NA,NA,NA,NA,NA,0.7,0.7
Curveball,5,5,1.5,118.8,33.9,-39.3,0.4,8.98,0.8,16.34,2489.2,0,60,0,100,20,100,0,0,0,0,0,0.046
Curveball,6,10,2.6,118.8,30.3,-32.5,0,-0.48,-0.3,-3.28,2239.1,60,0,0,60,100,0,50,50,0,16.7,0.625,0.413
Curveball,7,18,6.3,119.1,29,-36,-0.1,-0.4,-0.3,-1.8,2305.2,38.9,0,16.7,27.8,100,0,66.7,33.3,0,20,0.3,0.336
Curveball,8,12,3.3,122.4,25.7,-29.9,-1.1,-8.88,-1.8,-14.64,2343.3,41.7,0,33.3,25,100,0,0,100,0,33.3,0.967,0.674
Curveball,9,10,2.4,122.3,26.7,-28.3,0.6,5.61,0.5,5.05,2322.9,50,10,20,40,75,0,0,50,50,33.3,0,0.166
4-Seam Fastball,4,130,52.6,156,-11.7,41.6,0,-0.01,0.6,0.45,2406.4,48.5,8.5,14.6,40,78.8,75,12.5,12.5,0,26.3,0.404,0.475
4-Seam Fastball,5,186,55.2,152.4,-10.1,43.1,0.3,0.16,-0.1,-0.07,2301.3,57,8.6,22.6,37.1,76.8,33.3,29.2,25,12.5,27.1,0.378,0.393
4-Seam Fastball,6,200,51.8,153.2,-9.6,39.4,3.3,1.63,0.5,0.23,2264.5,47.5,10,11,45,77.8,52.2,26.1,17.4,4.3,17.5,0.342,0.369
4-Seam Fastball,7,129,45.4,154.3,-8.4,36.2,0.4,0.34,-1.1,-0.84,2137.6,62.8,11.6,19.4,52.7,77.9,52.4,33.3,9.5,4.8,21.6,0.407,0.298
4-Seam Fastball,8,124,34.5,153.2,-8.4,35.6,-1.5,-1.23,-1.9,-1.51,2044.4,56.5,6.5,18.5,47.6,86.4,36,28,24,12,34.8,0.42,0.415
4-Seam Fastball,9,126,30.4,155.2,-10,35.5,-2.5,-1.96,-3.3,-2.63,2072.2,61.9,4,14.3,52.4,92.4,70,15,15,0,24.1,0.478,0.333
